,GEOID,households
1166,4705590436.0,825
1167,4705591006.0,300
1168,4705590626.0,808
1169,4705590626.0,749
1170,4705590816.0,603
1171,4705591006.0,554
1172,4705590816.0,645
1173,4705591196.0,576
1174,4705590436.0,870
1175,4705590246.0,544
1176,4705591196.0,494
1177,4705590246.0,604
1178,4705590246.0,484
1179,4705590056.0,708
1180,4705590816.0,594
1181,4705590056.0,682
1182,4705790628.0,514
1183,4705790628.0,496
1184,4705790628.0,540
1185,4705790438.0,540
1186,4705790438.0,537
1187,4705790438.0,856
1188,4705790058.0,572
1189,4705790248.0,759
1190,4705790058.0,518
1191,4705790058.0,343
1192,4705790058.0,477
1193,4705790248.0,647
1194,4705790818.0,452
1195,4705790818.0,809
1196,4705790818.0,813
1197,4705790818.0,489
1198,4705990060.0,349
1199,4705991200.0,434
1200,4705991200.0,467
1201,4705991200.0,461
1202,4705990060.0,471
1203,4705991200.0,536
1204,4705990440.0,643
1205,4705990440.0,406
1206,4705990440.0,653
1207,4705990440.0,609
1208,4705990440.0,757
1209,4705990440.0,480
1210,4705991200.0,644
1211,4705990630.0,313
1212,4705990630.0,615
1213,4705991200.0,641
1214,4705990820.0,487
1215,4705990630.0,512
1216,4705990630.0,671
1217,4705990630.0,688
1218,4705990820.0,596
1219,4705991200.0,518
1220,4705991200.0,481
1221,4705990820.0,630
1222,4705991010.0,548
1223,4705991010.0,529
1224,4705990250.0,460
1225,4705990060.0,553
1226,4705990060.0,730
1227,4705990250.0,735
1228,4705990250.0,628
1229,4705990250.0,728
1230,4705990630.0,877
1231,4705990630.0,630
1232,4705990630.0,512
1233,4705990250.0,582
1234,4705990630.0,535
1235,4705990820.0,746
1236,4705990820.0,726
